BB,BB Band,BP,BP Band,SB,SB Band,VB,VB Band,Overall Risk Level,Overall Risk Level Band
4.0988,1,0.0,1,4.0988,1,22.8503,2,31.0478,2
5.8431,2,0.0,1,5.8431,2,16.2706,2,27.9569,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
4.0988,1,0.0,1,4.0988,1,14.7413,2,22.9388,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
4.4535,1,4.4535,1,4.4535,1,0.0,1,13.3604,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.6442,1,0.0,1,3.6442,1,34.5663,3,41.8547,3
3.6442,1,0.0,1,3.6442,1,12.9061,2,20.1945,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
3.24,1,6.48,2,3.24,1,0.0,1,12.96,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
4.0988,1,0.0,1,7.0807,2,36.108,3,47.2875,3
3.6442,1,0.0,1,3.6442,1,13.1549,2,20.4433,2
3.6442,1,3.6442,1,6.6261,2,0.0,1,13.9145,2
3.24,1,3.24,1,3.24,1,0.0,1,9.72,1
10.3117,3,0.0,1,13.2936,3,34.3166,3,57.922,3
