Area type,Facility Type,Facility access,Line of Sight,Loose or slippery surface,Tram or Train Rails,Major Surface Deformation or Drain Opening,Fixed Obstacle on Facility,FO Type,Non-Fixed Obstacle on Facility,NFO Type,Issue Type (Slippery),Delineation,Delineation Type,Light Segregation,Facility Width per Direction,Flow Direction,Width Restriction,Adjacent Road Lane 0-1m,Adjacent Vehicle Parking 0-1m,Adjacent Severe Hazard 0-1m,Adjacent object or level change 0-1m,Adjacent Sidewalk 0-1m,Adjacent Road Lane 1-3m,Adjacent Vehicle Parking 1-3m,Adjacent Severe Hazard 1-3m,Adjacent object or level change 1-3m,Adjacent Sidewalk 1-3m,Grade,Curvature,Street Lighting,Pedestrian Crossing,Intersecting Bicycle Facility,Intersection Approach,Intersection or Road Crossing,Crossing Facility,Crossing Type,Number of lanes – adjacent road,Number of lanes – intersecting road,Property Access,Peak pedestrian flow along or across facility,Peak bicycle/LV traffic flow,Observed proportion of cargo bikes and mopeds,Bicycle/LV speed – average,Bicycle/LV speed differential,Road AADT,Heavy vehicle flow,Road speed limit,Road operating speed (mean),Road operating speed (unit),Facility Width Sub-category,Curvature Sub-category,Gradient %,BB Band,BP Band,SB Band,VB Band,Overall Risk Level Band
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,0.58,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,1.32,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,2.01,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-0.03,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,0.75,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,0.53,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-0.53,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-0.11,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,1.82,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-1.28,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,0.31,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,0.88,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,0.97,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,5.03,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,1.2,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,1.97,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-1.73,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,0.19,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,2.98,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-1.32,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-6.95,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,1.17,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-0.7,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-1.43,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-7.58,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,1.58,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,3.91,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,2.36,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-1.66,1,1,1,1,1
2,2,1,1,2,2,2,2,,2,,,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,2,1,2,2,2,2,2,,2,1,2,1,1,1,1,1,6000,1,10,30,1,,,-1.23,1,1,1,1,1
